symbol,name,price,change,percentchange,volume,avgvolume,marketcap,pbyeratio,fiftytwoweekpercentchange
 SYM   ,Symbotic Inc.,31.82,+5.05,+18.86%,12.554M,2.406M ,18.692B,- ,-39.30% 
 CFRUY   ,Compagnie Financière Richemont SA,17.73,+2.59,+17.11%,"81,881","731,052 ",103.638B,29.55 ,31.85% 
 RUM   ,Rumble Inc.,12.25,+1.37,+12.59%,7.465M,6.841M ,3.479B,- ,203.06% 
 NEXT   ,NextDecade Corporation,9.04,+0.94,+11.60%,6.777M,1.789M ,2.353B,- ,76.86% 
 LVMUY   ,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",144.12,+13.36,+10.22%,"204,740","396,963 ",368.022B,25.02 ,-0.47% 
 INGM   ,Ingram Micro Holding Corporation,22.64,+1.93,+9.32%,"315,907","488,003 ",5.316B,16.77 ,-15.81% 
 CVNA   ,Carvana Co.,231.92,+17.88,+8.35%,8.027M,3.37M ,27.122B,- ,376.49% 
 OLLI   ,"Ollie's Bargain Outlet Holdings, Inc.",104.48,+7.48,+7.71%,1.752M,1.158M ,6.402B,28.86 ,29.73% 
 DUOL   ,"Duolingo, Inc.",341.80,+21.82,+6.82%,"905,345","539,040 ",14.074B,175.28 ,64.43% 
 NFE   ,New Fortress Energy Inc.,15.92,+1.01,+6.77%,3.027M,5.243M ,4.253B,17.49 ,-53.95% 
 VRNA   ,Verona Pharma plc,53.64,+3.33,+6.62%,1.988M,1.128M ,4.389B,- ,193.01% 
 PPRUY   ,Kering SA,24.35,+1.47,+6.42%,"52,501","387,808 ",29.854B,13.99 ,-36.89% 
 SWTX   ,"SpringWorks Therapeutics, Inc.",35.59,+2.11,+6.30%,1.346M,1.298M ,2.647B,- ,-15.96% 
 XPEV   ,XPeng Inc.,13.87,+0.82,+6.28%,12.484M,12.197M ,12.967B,- ,35.37% 
 LTH   ,"Life Time Group Holdings, Inc.",26.63,+1.56,+6.22%,4.861M,1.226M ,5.512B,39.16 ,77.17% 
 GDS   ,GDS Holdings Limited,22.72,+1.32,+6.17%,1.213M,1.297M ,4.537B,- ,276.10% 
 OTGLY   ,CD Projekt S.A.,12.33,+0.70,+6.02%,"19,277","14,018 ",4.948B,47.42 ,88.86% 
 NXT   ,Nextracker Inc.,45.27,+2.54,+5.94%,2.128M,2.651M ,6.675B,11.32 ,-1.84% 
 CAMT   ,Camtek Ltd.,98.94,+5.46,+5.84%,"827,652","496,072 ",4.491B,42.83 ,25.70% 
 LINE   ,"Lineage, Inc.",57.41,+3.06,+5.63%,"687,111","999,105 ",14.473B,- ,-32.72% 
 ZGN   ,Ermenegildo Zegna N.V.,8.12,+0.43,+5.59%,2.224M,"894,381 ",2.05B,20.30 ,-25.34% 
 DXCM   ,"DexCom, Inc.",84.84,+4.44,+5.52%,5.999M,3.969M ,33.138B,51.42 ,-33.35% 
 IONQ   ,"IonQ, Inc.",41.55,+2.16,+5.48%,45.956M,32.51M ,8.991B,- ,263.04% 
 AMT   ,American Tower Corporation,190.07,+9.75,+5.41%,3.545M,2.554M ,88.818B,45.80 ,-6.77% 
 FOUR   ,"Shift4 Payments, Inc.",107.15,+5.31,+5.21%,1.357M,1.75M ,9.654B,59.53 ,35.41% 
 ZETA   ,Zeta Global Holdings Corp.,18.81,+0.92,+5.14%,4.96M,8.752M ,4.466B,- ,83.30% 
 TENB   ,"Tenable Holdings, Inc.",42.59,+2.07,+5.11%,1.563M,"953,346 ",5.117B,- ,-14.51% 
 SOFI   ,"SoFi Technologies, Inc.",16.30,+0.79,+5.09%,42.385M,50.868M ,17.688B,125.38 ,107.08% 
 DBRG   ,"DigitalBridge Group, Inc.",11.22,+0.54,+5.06%,1.879M,2.554M ,2.092B,12.47 ,-41.67% 
 GMAB   ,Genmab A/S,21.22,+0.99,+4.89%,1.985M,1.253M ,14.44B,21.22 ,-30.10% 
 CEG   ,Constellation Energy Corporation,315.24,+14.47,+4.81%,5.267M,3.295M ,98.619B,33.11 ,162.80% 
 CWEN   ,"Clearway Energy, Inc.",26.46,+1.21,+4.79%,"927,327","866,613 ",4.994B,24.50 ,2.60% 
 EL   ,The Estée Lauder Companies Inc.,78.07,+3.55,+4.76%,4.798M,4.687M ,28.025B,139.41 ,-37.96% 
 CWEN-A   ,"Clearway Energy, Inc.",24.96,+1.13,+4.74%,"181,997","220,794 ",4.994B,23.11 ,9.14% 
 ALHC   ,"Alignment Healthcare, Inc.",14.55,+0.65,+4.68%,2.155M,1.864M ,2.789B,- ,95.77% 
 CCI   ,Crown Castle Inc.,90.65,+4.01,+4.63%,3.366M,3.05M ,39.396B,32.15 ,-16.04% 
 AMAT   ,"Applied Materials, Inc.",186.48,+8.10,+4.54%,10.821M,6.58M ,151.736B,20.70 ,11.04% 
 GKOS   ,Glaukos Corporation,156.51,+6.74,+4.50%,"517,536","590,930 ",8.63B,- ,64.06% 
 TNDM   ,"Tandem Diabetes Care, Inc.",37.53,+1.58,+4.39%,1.291M,1.338M ,2.465B,- ,45.25% 
 HRMY   ,"Harmony Biosciences Holdings, Inc.",38.54,+1.61,+4.36%,"676,047","753,690 ",2.198B,18.27 ,16.65% 
 BURBY   ,Burberry Group plc,12.22,+0.51,+4.36%,"37,926","98,250 ",4.382B,94.00 ,-22.53% 
 SATS   ,EchoStar Corporation,25.54,+1.06,+4.33%,1.549M,1.617M ,7.307B,- ,66.06% 
 KLAC   ,KLA Corporation,747.26,+31.01,+4.33%,2.019M,1.17M ,99.954B,34.20 ,21.90% 
